attributes.Ambience.divey,attributes.Dietary Restrictions.vegan,attributes.Happy Hour,hours.Thursday.open,attributes.Order at Counter,attributes.Hair Types Specialized In.africanamerican,attributes.Hair Types Specialized In.kids,attributes.BYOB,hours.Friday.open,attributes.Good For.latenight,attributes.Outdoor Seating,attributes.Alcohol,attributes.Ambience.classy,attributes.By Appointment Only,attributes.Parking.lot,business_id,attributes.Ambience.touristy,attributes.Corkage,hours.Tuesday.open,attributes.Good For.brunch,categories,attributes.Waiter Service,hours.Monday.open,name,attributes.Parking.street,attributes.Ambience.hipster,attributes.BYOB/Corkage,attributes.Hair Types Specialized In.straightperms,attributes.Music.live,attributes.Dietary Restrictions.dairy-free,attributes.Music.background_music,attributes.Price Range,attributes.Good For.breakfast,attributes.Parking.garage,attributes.Music.karaoke,attributes.Good For Dancing,review_count,attributes.Hair Types Specialized In.asian,state,attributes.Accepts Credit Cards,hours.Friday.close,attributes.Good For.lunch,attributes.Parking.valet,attributes.Take-out,full_address,hours.Thursday.close,attributes.Hair Types Specialized In.coloring,attributes.Good For.dessert,attributes.Music.video,attributes.Dietary Restrictions.halal,attributes.Takes Reservations,hours.Saturday.open,attributes.Ages Allowed,attributes.Ambience.trendy,attributes.Delivery,hours.Wednesday.close,attributes.Wi-Fi,open,city,attributes.Wheelchair Accessible,attributes.Dietary Restrictions.gluten-free,stars,attributes.Dietary Restrictions.kosher,type,attributes.Caters,attributes.Ambience.intimate,latitude,attributes.Good For.dinner,attributes.Coat Check,longitude,hours.Monday.close,attributes.Hair Types Specialized In.extensions,hours.Tuesday.close,hours.Saturday.close,attributes.Good for Kids,attributes.Parking.validated,hours.Sunday.open,attributes.Accepts Insurance,attributes.Music.dj,attributes.Dietary Restrictions.soy-free,attributes.Has TV,hours.Sunday.close,attributes.Ambience.casual,attributes.Hair Types Specialized In.perms,attributes.Dogs Allowed,attributes.Drive-Thru,attributes.Dietary Restrictions.vegetarian,hours.Wednesday.open,attributes.Noise Level,attributes.Smoking,attributes.Attire,attributes.Hair Types Specialized In.curly,attributes.Good For Groups,neighborhoods,attributes.Open 24 Hours,attributes.Ambience.romantic,attributes.Music.jukebox,attributes.Ambience.upscale
False,False,,06:00,,,,,06:00,False,True,full_bar,False,,False,IceZ4BtTz76eppjNWm-c6A,False,,06:00,False,"['Greek', 'Mediterranean', 'Restaurants']",True,06:00,Paisley Violin,True,False,yes_corkage,,,False,,1,False,False,,,59,,AZ,True,00:00,True,False,True,"1030 NW Grand Ave
Phoenix, AZ 85007",22:00,,False,,False,True,09:00,,False,True,22:00,free,False,Phoenix,True,False,3.5,False,business,True,False,33.4547647,True,,-112.0865171,22:00,,22:00,00:00,False,False,,,,False,False,,True,,,,True,06:00,average,,casual,,True,[],False,False,,False
False,,,,,,,,,False,False,none,False,,False,QsvRjgQacMMFf8dit7qqDw,False,,,False,"['Chinese', 'Restaurants']",True,,New Garden Restaurant,False,False,,,,,,2,False,False,,,18,,AZ,True,,False,False,True,"823 S Central Ave
Phoenix, AZ 85004",,,False,,,False,,,False,False,,no,True,Phoenix,,,4.0,,business,True,False,33.439268,False,,-112.073481,,,,,True,False,,,,,False,,False,,,,,,quiet,,casual,,True,[],,False,,False
,,,,,,,,,,,,,,,LXhL5X3edNRy7epku6UAEw,,,,,"['Bakeries', 'Food', 'Breakfast & Brunch', 'Restaurants']",,,Paradise Bakery,,,,,,,,,,,,,7,,AZ,,,,,,"3 S 2nd St
Ste 205
Phoenix, AZ 85004",,,,,,,,,,,,,False,Phoenix,,,4.0,,business,,,33.4470733,,,-112.0709775,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
False,,,11:00,,,,,11:00,False,True,full_bar,False,,False,-lOSaCuBRAvX5JBifx-EMw,False,,11:00,False,"['Mexican', 'Restaurants']",True,11:00,Mi Amigo's Mexican Grill,False,False,,,,,,2,False,True,,,129,,AZ,True,23:00,True,False,True,"455 N 3rd St
Phoenix, AZ 85004",22:00,,False,,,True,11:00,,False,False,22:00,no,True,Phoenix,True,,3.0,,business,True,False,33.4521542,False,,-112.0686202,22:00,,22:00,23:00,True,False,11:00,,,,True,21:00,True,,,,,11:00,average,,casual,,True,[],False,False,,False
False,,,,,,,,,False,True,none,False,,False,XI-_Y2XRw03mozGx0Z90Gw,False,,,False,"['Mexican', 'Restaurants']",False,,Baja Fresh Mexican Grill,True,False,,,,,,1,False,False,,,21,,AZ,True,,True,False,True,"50 N Central Ave
Phoenix, AZ 85004",,,False,,,False,,,False,False,,,False,Phoenix,True,,3.5,,business,,False,33.4487514,False,,-112.0738147,,,,,True,False,,,,,False,,False,,,,,,loud,,casual,,True,[],,False,,False
False,,True,,False,,,,,False,True,full_bar,False,,False,qsWxbgQwuomXvMseg23DGg,False,False,,False,"['Bars', 'American (Traditional)', 'Sports Bars', 'Nightlife', 'Chicken Wings', 'Restaurants']",True,,Hooters,False,False,yes_free,,,,,2,False,True,,False,113,,AZ,True,,True,False,True,"455 N 3rd
190 Arizona Center
Phoenix, AZ 85004",,,False,,,False,,,False,False,,free,True,Phoenix,True,,2.5,,business,False,False,33.4523351,False,False,-112.0696144,,,,,False,False,,,False,,True,,True,,,,,,average,outdoor,casual,,True,[],,False,,False
False,,,11:00,False,,,,11:00,False,False,full_bar,False,,True,DlCtdbceo4YNSI53cCL2lg,False,,11:00,False,"['Restaurants', 'Italian']",True,11:00,The Old Spaghetti Factory,False,False,,,,,,2,False,False,,,275,,AZ,True,22:00,False,False,True,"1418 N Central Ave
Phoenix, AZ 85004",21:30,,False,,,True,11:30,,False,False,21:30,no,True,Phoenix,True,,3.0,,business,True,False,33.46425,True,,-112.074153,21:30,,21:30,22:00,True,False,11:30,,,,False,21:30,True,,,,,11:00,average,,casual,,True,[],,False,,False
False,,,07:00,,,,,07:00,False,True,none,False,,False,kR5i58Pcse1FD9tk-yYLlA,False,,07:00,False,"['Event Planning & Services', 'Caterers', 'Sandwiches', 'Restaurants']",False,07:00,Crave Sandwich Cafe & Catering,True,False,,,,,,1,False,False,,,25,,AZ,True,14:00,True,False,True,"541 E Van Buren St
Phoenix, AZ 85004",18:00,,False,,,False,,,False,True,17:00,free,True,Phoenix,True,,3.5,,business,True,False,33.450875,False,,-112.066333,17:00,,18:00,,True,False,,,,,False,,False,,,,,07:00,average,,casual,,True,[],,False,,False
False,,,10:30,,,,,10:30,False,True,full_bar,False,,False,2I666dqzs1XB6xigIKa9bA,False,,10:30,False,"['American (Traditional)', 'Restaurants']",True,10:30,Tom's Tavern & 1929 Grill,True,False,,,,,,2,False,True,,,78,,AZ,True,21:00,True,False,True,"2 N Central Ave
Phoenix, AZ 85004",20:00,,False,,,True,,,False,False,20:00,free,True,Phoenix,True,,3.0,,business,True,False,33.448424817,False,,-112.074802052,20:00,,20:00,,False,False,10:00,,,,True,18:00,True,,False,,,10:30,average,,casual,,True,[],,False,,False
,,,,,,,,,False,False,none,,,False,yExYqENb4F6qH6kJxTOaSQ,,,,False,"['Delis', 'Restaurants']",False,,Karim's Cobbler Shop & Deli,False,,,,,,,1,False,True,,,19,,AZ,True,,True,False,True,"333 E Jefferson St
Ste 102
Phoenix, AZ 85004",,,False,,,False,,,,,,,False,Phoenix,True,,3.5,,business,True,,33.4458023,False,,-112.0691069,,,,,True,False,,,,,True,,,,,,,,,,casual,,True,[],,,,
False,,,07:00,,,,,07:00,False,True,none,False,,False,9BH18avE46LlHMvJn67MaA,False,,07:00,False,"['Breakfast & Brunch', 'Delis', 'Sandwiches', 'Restaurants']",False,07:00,The Downtown Deli,True,False,,,,,,1,False,False,,,57,,AZ,True,15:00,True,False,True,"130 N Central Ave
Phoenix, AZ 85004",15:00,,False,,,False,,,False,True,15:00,free,False,Phoenix,True,,4.0,,business,True,False,33.4499524,False,,-112.0740511,15:00,,15:00,,True,False,,,,,False,,True,,,,,07:00,average,,casual,,True,[],,False,,False
False,,,10:00,True,,,False,10:00,False,True,none,False,,True,trAvQPp7gps0Btk-2AmLpw,False,False,10:00,False,"['Greek', 'Mediterranean', 'Sandwiches', 'Restaurants']",False,10:00,Zoes Kitchen,False,False,yes_free,,,,,1,False,False,,,127,,AZ,True,21:00,True,False,True,"521 W McDowell Rd
Phoenix, AZ 85003",21:00,,False,,,False,10:00,,False,False,21:00,free,True,Phoenix,True,,3.5,,business,True,False,33.465499,False,,-112.081565,21:00,,21:00,21:00,True,False,10:00,,,,False,21:00,True,,,,,10:00,average,,casual,,True,[],,False,,False
,,,,,,,,,,False,,,,,VCQ3VvnVRhibTT8J61xWkw,,,,,"['Fast Food', 'Restaurants']",,,Jack in the Box,,,,,,,,,,,,,5,,AZ,True,,,,True,"620 E Buckeye Rd
Phoenix, AZ 85004",,,,,,False,,,,False,,,True,Phoenix,,,2.0,,business,,,33.4372015,,,-112.0656044,,,,,True,,,,,,True,,,,,True,,,,,casual,,True,[],,,,
,,,,,,,,,False,True,,,,,s6zzKc7UvwDRxn-BFlhiTg,,,,False,"['Fast Food', 'Sandwiches', 'Restaurants']",False,,Subway,,,,,,,,1,False,,,,6,,AZ,True,,False,,True,"455 N 3rd St
Phoenix, AZ 85004",,,False,,,False,,,,False,,,True,Phoenix,,,2.5,,business,,,33.4521542,False,,-112.0686202,,,,,True,,,,,,False,,,,,,,,,,casual,,True,[],,,,
,,True,,,,,,,False,,full_bar,,,True,4WcxnNv_lzCIG2eb8O5Mlg,,,,False,"['Arts & Entertainment', 'American (Traditional)', 'Nightlife', 'Music Venues', 'Restaurants']",,,The Brickhouse,True,,,,True,,,2,False,False,,,7,,AZ,True,,False,False,,"1 E Jackson St
Phoenix, AZ 85004",,,False,False,,,,,,,,,False,Phoenix,True,,3.5,,business,,,33.44455,False,,-112.073577,,,,,False,False,,,False,,,,,,,,,,,outdoor,casual,,True,[],,,False,
False,,True,11:00,,,,False,11:00,False,True,full_bar,False,,False,gkv2XvXpFgiq4Bb2XK7YmQ,True,False,11:00,False,"['Arts & Entertainment', 'Music Venues', 'Burgers', 'Nightlife', 'American (New)', 'Restaurants']",True,11:00,Hard Rock Café,True,False,yes_free,,,,,2,False,False,,False,124,,AZ,True,00:00,False,False,True,"3 S. 2nd Street
Phoenix, AZ 85004",23:00,,False,,,True,11:00,,False,False,23:00,free,True,Phoenix,True,,3.0,,business,False,False,33.4468850573,True,False,-112.071075886,23:00,,23:00,00:00,True,False,11:00,,False,,True,23:00,False,,,False,,11:00,average,no,casual,,True,[],,False,,False
False,,,,,,,,,False,True,none,False,,False,If2DUhmWIvlu2JFc_rR-Bw,False,,,False,"['Italian', 'Pizza', 'Sandwiches', 'Restaurants']",False,,Papa Christo's,True,False,,,,,,1,False,False,,,26,,AZ,True,,True,False,True,"2 N Central Ave
Phoenix, AZ 85004",,,False,,,False,,,False,False,,no,True,Phoenix,True,,3.5,,business,True,False,33.4484911,False,,-112.0744277,,,,,True,False,,,,,True,,True,,,,,,average,,casual,,True,[],,False,,False
False,,,,,,,,,False,False,none,False,,True,xH5axHFadmc7Veutt376TA,False,,,False,"['Burgers', 'Fast Food', 'Restaurants']",False,,McDonald's,False,False,,,,,,1,False,False,,,20,,AZ,True,,False,False,True,"545 E Mcdowell Rd
Phoenix, AZ 85004",,,False,,,False,,,False,False,,free,True,Phoenix,,,1.5,,business,False,False,33.4653345,False,,-112.0655975,,,,,True,False,,,,,False,,False,,,True,,,very_loud,,casual,,True,[],,False,,False
,,,,,,,,,False,False,none,,,False,Vvh2Hd4SsZjEEfKLNKAEWw,,,,False,"['Fast Food', 'Sandwiches', 'Restaurants']",False,,Subway,False,,,,,,,,False,False,,,12,,AZ,True,,True,False,True,"2817 N Central Ave
Phoenix, AZ 85004",,,False,,,False,,,,False,,,True,Phoenix,True,,4.0,,business,,,33.479418,False,,-112.0732961,,,,,True,False,,,,,False,,,,,False,,,average,,casual,,True,[],,,,
False,,,07:00,,,,,07:00,False,False,none,False,,False,sInUSy63Oh455uWs9p9OqQ,False,,07:00,False,"['Cafes', 'Restaurants']",False,07:00,Central Cafe,False,False,,,,,,1,False,False,,,7,,AZ,True,15:00,False,False,True,"2600 N Central Ave
Phoenix, AZ 85004",15:00,,False,,,False,,,False,True,15:00,no,True,Phoenix,True,,4.5,,business,False,False,33.4771144,False,,-112.0744197,15:00,,15:00,,True,False,,,,,True,,False,,,,,07:00,average,,casual,,True,[],,False,,False
,,,,,,,,,,,,,,,x8WoC_7WHzXNmt6J13Nbvw,,,,,"['Mexican', 'Restaurants']",False,,Jordan's Mexican Food,,,,,,,,1,,,,,4,,AZ,False,,,,,"2633 N Central Ave
Phoenix, AZ 85004",,,,,,,,,,,,no,False,Phoenix,,,2.0,,business,,,33.477594,,,-112.072914,,,,,False,,,,,,,,,,,,,,,,,,True,[],,,,
False,,False,07:00,,,,,07:00,False,True,beer_and_wine,False,,False,wki-Qlp3OWgH0XtZ-Jz_WQ,False,,07:00,False,"['Delis', 'Sandwiches', 'Restaurants']",False,07:00,Duck & Decanter,True,False,,,,,,1,False,True,,False,50,,AZ,True,18:00,True,False,True,"1 N Central Ave
Phoenix, AZ 85004",19:00,,False,,,False,,,False,True,19:00,free,True,Phoenix,True,,4.0,,business,True,False,33.4483756752,False,False,-112.072706876,19:00,,19:00,,True,True,,,False,,False,,True,,True,,,07:00,average,,casual,,True,[],,False,,False
False,,,09:00,,,,,09:00,False,True,none,False,,True,OoHWabV-ym7_HWlHeXTsVA,False,,09:00,False,"['Cheesesteaks', 'Sandwiches', 'Restaurants']",False,09:00,Best of Philly,False,False,,,,,,1,False,False,,,65,,AZ,True,16:00,True,False,True,"2818 N Central Ave
Phoenix, AZ 85004",16:00,,False,,,False,10:30,,False,False,16:00,no,True,Phoenix,True,,3.5,,business,False,False,33.4794824,False,,-112.0740962,16:00,,16:00,16:00,True,False,,,,,False,,True,,,,,09:00,average,,casual,,True,[],,False,,False
False,,,17:00,,,,,17:00,False,False,beer_and_wine,False,,True,oSKT5oZX1NWYaHwOWL5lag,False,False,17:00,False,"['Sushi Bars', 'Japanese', 'Restaurants']",True,17:00,Ichi Ban Japanese Restaurant & Sushi,False,False,yes_free,,,,,2,False,False,,,51,,AZ,True,21:30,True,False,True,"2815 N Central Ave
Phoenix, AZ 85004",21:00,,False,,,False,17:00,,False,False,21:00,no,True,Phoenix,True,,3.5,,business,False,False,33.4794762,False,,-112.0736809,21:00,,21:00,21:30,True,False,,,,,True,,True,,,,,17:00,average,,casual,,True,[],,False,,False
False,,,07:00,,,,,07:00,False,False,none,False,,True,QAe9UHKsxPdXQovBpaznMQ,False,,07:00,False,"['Delis', 'Fast Food', 'Sandwiches', 'Restaurants']",False,07:00,Schlotzskys Deli,False,False,,,,,,1,False,False,,,13,,AZ,True,21:00,True,False,True,"2601 N Central Ave
Phoenix, AZ 85004",21:00,,False,,,False,08:00,,False,False,21:00,paid,False,Phoenix,True,,2.5,,business,True,False,33.476644,False,,-112.0736968,21:00,,21:00,21:00,True,False,09:00,,,,False,19:00,False,,,False,,07:00,average,,casual,,False,[],,False,,False
False,,,10:00,,,,,10:00,False,True,beer_and_wine,False,,True,q1nDSpmV-FdTBNj6UuZvTg,False,,10:00,False,"['Barbeque', 'Restaurants']",False,10:00,Honey Bear's BBQ,False,False,,,,,,2,False,False,,,237,,AZ,True,21:00,True,False,True,"2824 N Central Ave
Phoenix, AZ 85004",20:00,,False,,,False,10:00,,False,True,20:00,no,True,Phoenix,True,,3.0,,business,True,False,33.4796505,False,,-112.0742162,20:00,,20:00,21:00,True,False,10:00,,,,True,20:00,True,,False,,,10:00,average,,casual,,True,[],,False,,False
